# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	31513
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=62 d=1.01193 t=30983
wu hen 	無痕	c=1 d=1 t=5792
wu jia meng 	吳佳夢	c=1 d=1 t=30378
wu liao 	物料	c=3 d=1 t=11560
wu liao ku 	物料庫	c=3 d=2.95064 t=2838
wu liu 	五六	c=1 d=1 t=1670
wu liu 	物流	c=11 d=1 t=30525
wu liu gong chang 	物流工廠	c=2 d=1 t=27351
wu nian 	五年	c=1 d=1 t=9166
wu qi 	武器	c=1 d=1 t=9364
wu shang 	誤傷	c=2 d=1.98511 t=3520
wu suo wei 	無所謂	c=1 d=1 t=17606
wu tou 	無頭	c=1 d=1 t=5712
wu xian 	無線	c=1 d=1 t=26804
wu xian 	無限	c=3 d=1.04176 t=29685
wu xian yue du 	無限月讀	c=1 d=1 t=29686
wu xiang ying 	無響應	c=2 d=1 t=12022
wu yi fan 	吳亦凡	c=1 d=1 t=22595
wu yong 	無用	c=3 d=1 t=26970
wu ze 	五則	c=1 d=1 t=27518
xi 	洗	c=1 d=1 t=15107
xi bei 	西貝	c=1 d=1 t=3799
xi gua 	西瓜	c=1 d=1 t=16855
xi hong shi 	西紅柿	c=4 d=2.88832 t=8343
xi hua 	細化	c=1 d=1 t=25589
xi huan 	喜歡	c=1 d=1 t=29440
xi jie 	細節	c=1 d=1 t=26949
xi tong 	系統	c=73 d=1.00199 t=31394
xi tong li 	系統裏	c=1 d=1 t=18567
xi wan 	洗完	c=1 d=1 t=8691
xi wang 	希望	c=1 d=1 t=28244
xi wang ni 	希望你	c=1 d=1 t=16871
xi yi ji 	洗衣機	c=1 d=1 t=8690
xia 	下	c=16 d=1.04857 t=28483
xia 	瞎	c=2 d=1 t=3966
xia ban 	下班	c=20 d=0.335167 t=31355
xia bu liao 	下不了	c=1 d=1 t=14092
xia bu qu 	下不去	c=1 d=1 t=24461
xia che 	下車	c=3 d=2.76555 t=15020
xia ci 	下次	c=3 d=1 t=28492
xia ci jiu hao le 	下次就好了	c=1 d=1 t=12781
xia dan 	下單	c=20 d=1.01448 t=30771
xia dao 	嚇到	c=1 d=1 t=3092
xia de 	嚇得	c=0 d=0.1 t=22238
xia de wo 	嚇得我	c=1 d=1 t=22239
xia diao 	下掉	c=1 d=1 t=3509
xia la 	下拉	c=1 d=1 t=9325
xia la kuang 	下拉框	c=1 d=1 t=9319
xia lai 	下來	c=2 d=1 t=27855
xia lou 	下樓	c=1 d=1 t=24453
xia men 	廈門	c=1 d=1 t=20744
xia mian 	下面	c=8 d=1.02788 t=21720
xia qu 	下去	c=0 d=0.1 t=27485
xia qu le 	下去了	c=1 d=1 t=27486
xia ren 	嚇人	c=1 d=0.100008 t=5278
xia ren 	蝦仁	c=1 d=1 t=8251
xia shuo 	瞎說	c=1 d=1 t=3961
xia wo 	嚇我	c=1 d=1 t=16452
xia wu 	下午	c=23 d=1.8825 t=30693
xia xian 	下線	c=9 d=1 t=11217
xia yi bu 	下一步	c=3 d=1 t=11242
xia yi ge 	下一個	c=3 d=1.96561 t=30196
xia zai 	下載	c=5 d=1 t=31128
xia zhou 	下週	c=9 d=1.00001 t=30001
xia zhou san 	下週三	c=1 d=1 t=24585
xia zhou yi 	下週一	c=2 d=1 t=24968
xian 	先	c=83 d=0.506397 t=31464
xian 	現	c=2 d=1 t=24197
xian 	線	c=1 d=1 t=16739
xian ba 	先把	c=2 d=1 t=26677
xian bai 	顯擺	c=1 d=1 t=5772
xian bu guan 	先不管	c=1 d=1 t=31465
xian ce 	先測	c=1 d=1 t=10452
xian chang 	現場	c=10 d=1.05503 t=23608
xian chi ba 	先喫吧	c=1 d=1 t=20930
xian chi fan 	先喫飯	c=2 d=1.9802 t=15793
xian huo 	現貨	c=1 d=1 t=31001
xian qu 	先去	c=2 d=1 t=15022
xian shang 	線上	c=10 d=1.61093 t=29994
xian shang hua 	線上化	c=3 d=1 t=30531
xian shi 	現實	c=1 d=1 t=19523
xian shi 	顯示	c=3 d=1.0435 t=23006
xian shi qi 	顯示器	c=2 d=1.89583 t=25707
xian shuo 	先說	c=1 d=1 t=655
xian ti 	纖體	c=0 d=0.1 t=5802
xian ti jiao 	纖體交	c=1 d=1 t=5803
xian wen 	先問	c=1 d=1 t=26146
xian xia 	線下	c=8 d=1 t=30502
xian yi pin 	鮮伊品	c=1 d=1 t=11363
xian yong 	先用	c=4 d=1 t=21266
xian you 	現有	c=1 d=1 t=4646
xian zai 	現在	c=138 d=2.81565 t=31478
xian zhao dao 	先找到	c=1 d=1 t=5976
xian zhe yang ba 	先這樣吧	c=1 d=1 t=21901
xian zhi 	限制	c=5 d=1 t=23536
xian zou le 	先走了	c=1 d=1 t=19303
xiang 	像	c=10 d=1 t=24047
xiang 	向	c=2 d=1 t=14169
xiang 	想	c=15 d=1.00012 t=31178
xiang 	響	c=1 d=1 t=24068
xiang 	項	c=10 d=1 t=30801
xiang ba 	想把	c=1 d=1 t=7904
xiang bu qi lai 	想不起來	c=1 d=1 t=12195
xiang chi 	想喫	c=0 d=0.1 t=24335
xiang chi de 	想喫的	c=1 d=1 t=24336
xiang chu lai 	想出來	c=1 d=1 t=2615
xiang cun 	鄉村	c=1 d=1 t=25616
xiang dang yu 	相當於	c=4 d=1 t=29123
xiang dao 	想到	c=1 d=1 t=902
xiang fa 	想法	c=4 d=1 t=31259
xiang guan 	相關	c=11 d=2.82417 t=31311
xiang guo 	想過	c=2 d=1.99005 t=2563
xiang hao 	想好	c=0 d=0.1 t=19490
xiang hu 	相互	c=1 d=1 t=18889
xiang jiao 	香蕉	c=1 d=1 t=16854
xiang lai 	想來	c=0 d=0.1 t=24783
xiang lai bei jing 	想來北京	c=1 d=1 t=24784
xiang mu 	項目	c=105 d=1.17197 t=31232
xiang mu guan li 	項目管理	c=1 d=1 t=18848
xiang mu jing li 	項目經理	c=1 d=1 t=9392
xiang mu ming 	項目名	c=1 d=1 t=11476
xiang ni 	想你	c=2 d=1 t=30998
xiang pen pen 	香噴噴	c=1 d=1 t=12763
xiang qi lai 	想起來	c=3 d=1.99005 t=20222
xiang qing 	詳情	c=1 d=1 t=2066
xiang ri kui 	向日葵	c=8 d=1.14239 t=20906
xiang shi 	像是	c=3 d=1.00025 t=22500
xiang su 	像素	c=3 d=1 t=24376
xiang tong 	相同	c=4 d=2.77619 t=30208
xiang xi 	詳細	c=1 d=1 t=21005
xiang xiang 	想想	c=5 d=1 t=25209
xiang xiang 	想象	c=1 d=1 t=24104
xiang yao 	想要	c=1 d=1 t=13832
xiang yi xia 	想一下	c=1 d=1 t=12061
xiang ying 	響應	c=8 d=1.00005 t=27613
xiang ying shi jian 	響應時間	c=1 d=1 t=2776
xiang zao 	想早	c=1 d=1 t=2167
xiang zhe ni 	想着你	c=1 d=1 t=584
xiao 	小	c=5 d=1 t=29870
xiao ba wang 	小霸王	c=1 d=1 t=12535
xiao cheng xu 	小程序	c=30 d=1.81983 t=30557
xiao chi 	小喫	c=0 d=0.1 t=24454
xiao chu 	消除	c=1 d=1 t=11251
xiao de 	小的	c=1 d=1 t=7731
xiao di 	小弟	c=2 d=1.04264 t=19114
xiao fan wei 	小範圍	c=1 d=1 t=27632
xiao fei 	小飛	c=2 d=1.0001 t=16658
xiao fen dui 	小分隊	c=23 d=1.98511 t=30054
xiao guo 	效果	c=11 d=1.92312 t=31085
xiao he 	小鶴	c=1 d=1 t=2
xiao hui 	小會	c=1 d=1 t=15695
xiao lv 	效率	c=27 d=1.42743 t=30786
xiao mie 	消滅	c=4 d=1.00016 t=20133
xiao piao 	小票	c=5 d=1 t=24046
xiao qi 	效期	c=2 d=1 t=16060
xiao qian 	小錢	c=1 d=1 t=7744
xiao qu 	小區	c=1 d=1 t=25411
xiao shi 	小時	c=6 d=1 t=28951
xiao shou 	銷售	c=16 d=1.12314 t=30542
xiao shou dan wei 	銷售單位	c=2 d=1.26847 t=26767
xiao shu 	小數	c=2 d=1 t=17878
xiao su 	小蘇	c=1 d=1 t=18400
xiao wei 	小偉	c=0 d=0.1 t=11037
xiao xi 	消息	c=4 d=1 t=27621
xiao yi 	效益	c=1 d=1 t=17515
xiao yu 	小於	c=1 d=1 t=18399
xiao zu 	小組	c=6 d=1 t=30554
xie 	寫	c=20 d=1.0069 t=30413
xie ba 	寫吧	c=1 d=1 t=10662
xie bu wan 	寫不完	c=1 d=1 t=14385
xie dai 	鞋帶	c=1 d=1 t=28544
xie dai ma 	寫代碼	c=2 d=1 t=10272
xie dao 	寫到	c=3 d=2.31961 t=28008
xie de 	寫的	c=9 d=1.58646 t=26969
xie de ma 	寫的嗎	c=1 d=1 t=26825
xie de ren 	寫的人	c=1 d=1 t=24902
xie dian 	寫點	c=2 d=1 t=24498
xie ge 	寫個	c=9 d=1.9802 t=31506
xie guo 	寫過	c=1 d=1 t=10439
xie hao 	寫好	c=1 d=1 t=23318
xie hui er 	歇會兒	c=2 d=1.99501 t=9444
xie le 	寫了	c=4 d=0.1 t=26849
xie le ge 	寫了個	c=1 d=1 t=23150
xie qing chu 	寫清楚	c=1 d=1 t=23171
xie ru 	寫入	c=2 d=1 t=25226
xie si 	寫死	c=5 d=1.00001 t=25846
xie si de 	寫死的	c=1 d=1 t=23640
xie tong 	協同	c=14 d=1.8781 t=26026
xie wan 	寫完	c=2 d=1.9802 t=30294
xie wan le 	寫完了	c=2 d=1 t=11867
xie wei 	謝偉	c=3 d=1 t=29944
xie yi 	協議	c=6 d=3.62639 t=5737
xie yi ge 	寫一個	c=1 d=1 t=24520
xie yi xia 	寫一下	c=1 d=1 t=21956
xie zuo 	協作	c=1 d=1 t=30680
xin 	新	c=28 d=0.53186 t=28799
xin 	馨	c=1 d=1 t=26113
xin ban ben 	新版本	c=1 d=1 t=26183
xin de 	心得	c=1 d=1 t=28448
xin de 	新的	c=9 d=1 t=27121
xin di zhi 	新地址	c=1 d=1 t=1573
xin fa 	心法	c=0 d=0.1 t=18426
xin fa di 	心法低	c=1 d=1 t=18427
xin jian 	新建	c=9 d=1 t=20992
xin jing dan zhan 	心驚膽顫	c=1 d=1 t=8726
xin kai 	新開	c=0 d=0.1 t=24671
xin kai de 	新開的	c=2 d=1 t=27531
xin ku 	辛苦	c=1 d=1 t=1415
xin ku le 	辛苦了	c=3 d=1 t=30368
xin lai de 	新來的	c=1 d=1 t=22459
xin li 	心裏	c=2 d=1 t=17123
xin ren 	新人	c=1 d=1 t=23482
xin tai 	心態	c=2 d=1 t=7712
xin xi 	信息	c=13 d=1 t=30544
xin xian 	新鮮	c=1 d=1 t=28696
xin xiang mu 	新項目	c=2 d=1 t=15653
xin xie 	新寫	c=1 d=1 t=6051
xin xin 	信心	c=1 d=1 t=3830
xin ye mian 	新頁面	c=9 d=1.08599 t=28626
xin yuan gong 	新員工	c=1 d=1 t=28800
xin zeng 	新增	c=7 d=2.24968 t=10950
xin zi 	薪資	c=1 d=1 t=2519
xin zuo 	新做	c=1 d=1 t=14066
xing 	型	c=1 d=1 t=17159
xing 	性	c=1 d=1 t=29715
xing 	行	c=10 d=1.25284 t=30149
xing ba 	星爸	c=1 d=1 t=2420
xing ba 	行吧	c=4 d=1.00002 t=18147
xing bu xing 	行不行	c=3 d=1.92312 t=14980
xing cheng 	形成	c=1 d=1 t=27634
xing de 	性的	c=1 d=1 t=2558
xing dong 	行動	c=6 d=1 t=24623
xing dong fang an 	行動方案	c=1 d=1 t=6778
xing guang 	星光	c=1 d=1 t=20428
xing hao 	型號	c=1 d=1 t=12541
xing hao 	幸好	c=1 d=1 t=27509
xing jia bi 	性價比	c=2 d=1 t=18309
xing le 	行了	c=1 d=1 t=20673
xing le 	醒了	c=0 d=0.1 t=29413
xing le mei 	醒了沒	c=1 d=1 t=29414
xing ma 	行嗎	c=1 d=1 t=5483
xing neng 	性能	c=14 d=1.21225 t=24819
xing shi 	形式	c=3 d=2.58794 t=20486
xing wei 	行爲	c=1 d=1 t=12675
xing yun 	幸運	c=1 d=1 t=403
xing zheng 	行政	c=1 d=1 t=25713
xiu 	修	c=2 d=1 t=23955
xiu 	秀	c=0 d=0.1 t=5256
xiu fu 	修復	c=7 d=1.99522 t=29664
xiu gai 	修改	c=29 d=1.25666 t=31330
xiu gai lv 	修改率	c=1 d=1 t=24248
xiu hao le 	修好了	c=1 d=1 t=14505
xiu jia 	休假	c=1 d=1 t=27395
xiu lian 	修煉	c=1 d=1 t=11623
xu 	續	c=1 d=1.09656 t=21986
xu 	虛	c=1 d=1 t=18597
xu bu xu yao 	需不需要	c=1 d=1 t=26190
xu fei 	續費	c=2 d=1.94649 t=5906
xu hao 	序號	c=1 d=1 t=28
xu huang yi qiang 	虛晃一槍	c=1 d=1 t=14469
xu lie hua 	序列化	c=1 d=1 t=13276
xu ni 	虛擬	c=1 d=1 t=24588
xu qiu 	需求	c=63 d=1.18012 t=31487
xu xian 	虛線	c=1 d=1 t=20224
xu yao 	需要	c=73 d=2.34546 t=29348
xuan 	選	c=11 d=1.01134 t=22553
xuan na ge 	選哪個	c=1 d=1 t=8847
xuan ran 	渲染	c=15 d=2.00536 t=30182
xuan xiang 	選項	c=0 d=0.1 t=26
xuan ze 	選擇	c=8 d=1 t=26781
xuan zhong 	選中	c=3 d=1 t=12666
xue 	學	c=4 d=1.00001 t=26867
xue 	薛	c=2 d=1.0276 t=20298
xue 	雪	c=2 d=0.137521 t=25287
xue dao 	學到	c=0 d=0.1 t=29326
xue dao le 	學到了	c=1 d=1 t=29327
xue hua 	雪花	c=1 d=1 t=12591
xue li 	學歷	c=1 d=1 t=22935
xue xi 	學習	c=8 d=1 t=22934
xue xiao 	學校	c=4 d=1 t=27054
xue zhuan 	血賺	c=1 d=1 t=16827
xun huan 	循環	c=1 d=1 t=24471
xun qiu 	尋求	c=2 d=1.17033 t=1288
xun su 	迅速	c=1 d=1 t=15560
ya ce 	壓測	c=1 d=1 t=11892
ya hei 	雅黑	c=1 d=1 t=13336
ya li 	壓力	c=1 d=1 t=9551
ya li 	雅麗	c=0 d=0.1 t=506
ya ma xun 	亞馬遜	c=1 d=1 t=31146
ya wei 	亞威	c=12 d=2.55768 t=27714
ya yun hui 	亞運會	c=1 d=1 t=1402
ya zha 	壓榨	c=2 d=1.9802 t=1795
yan 	嚴	c=1 d=1 t=13291
yan 	延	c=1 d=1 t=21697
yan 	豔	c=1 d=1 t=2293
yan 	閆	c=3 d=0.1 t=28871
yan 	驗	c=0 d=0.1 t=11087
yan bu 	眼部	c=0 d=0.1 t=30808
yan bu jian 	眼部建	c=1 d=1 t=30809
yan cheng qu 	郾城區	c=2 d=1.04573 t=11657
yan cheng qu 	閆成渠	c=5 d=2.1263 t=30703
yan chi 	延遲	c=5 d=1.00001 t=8814
yan fa 	研發	c=27 d=1.69391 t=28882
yan fa xiao lv 	研發效率	c=3 d=1 t=27674
yan ge 	嚴格	c=7 d=1.00026 t=27553
yan guang 	眼光	c=1 d=1 t=1368
yan jin 	演進	c=1 d=1 t=2888
yan jing 	眼睛	c=1 d=1 t=949
yan jiu 	研究	c=5 d=1 t=31253
yan qi 	延期	c=1 d=1 t=11559
yan se 	顏色	c=3 d=1 t=13587
yan shi 	延時	c=1 d=1 t=29660
yan zheng 	驗證	c=16 d=1.00005 t=27633
yan zheng ma 	驗證碼	c=2 d=1 t=14117
yan zhong 	嚴重	c=4 d=1 t=19989
yang 	楊	c=0 d=0.1 t=28872
yang 	樣	c=5 d=1 t=16418
yang 	洋	c=1 d=1 t=23036
yang 	羊	c=0 d=0.1 t=5451
yang 	養	c=1 d=1 t=4023
yang chun xiang 	楊春翔	c=3 d=2.96531 t=28877
yang de 	樣的	c=3 d=1 t=31262
yang de 	養的	c=1 d=1 t=6083
yang ge 	陽哥	c=1 d=1 t=5356
yang hou zi 	養猴子	c=1 d=1 t=1390
yang rou 	羊肉	c=4 d=2.83167 t=8337
yang shi 	央視	c=1 d=1 t=17259
yang tang 	羊湯	c=5 d=1 t=31268
yang yang 	揚揚	c=1 d=1 t=11039
yang zi 	樣子	c=1 d=1 t=26318
yao 	藥	c=4 d=1 t=28647
yao 	要	c=107 d=1.97362 t=31252
yao ba 	要把	c=2 d=1 t=25548
yao bei 	要被	c=1 d=1 t=30360
yao bu 	要不	c=8 d=1 t=22149
yao bu yao 	要不要	c=11 d=1.00001 t=29449
yao chi 	要喫	c=1 d=1 t=7401
yao ge 	要個	c=1 d=1 t=29837
yao jia 	要加	c=2 d=1 t=23485
yao jian ju 	藥監局	c=1 d=1 t=31308
yao qian 	要錢	c=2 d=1.99501 t=4580
yao qing 	邀請	c=1 d=0.961561 t=7964
yao qing lian jie 	邀請鏈接	c=1 d=1 t=7922
yao qing ma 	邀請嗎	c=1 d=1 t=7959
yao qing ma 	邀請碼	c=4 d=1.99005 t=13751
yao qiu 	要求	c=14 d=3.00897 t=29470
yao qu 	要去	c=1 d=1 t=6715
yao rang 	要讓	c=2 d=1.97045 t=1978
yao shi 	要是	c=6 d=1.0002 t=23917
yao si 	要死	c=1 d=1 t=28114
yao xiang 	要想	c=1 d=1 t=15004
yao yao ling xian 	遙遙領先	c=1 d=1 t=23657
yao yong 	要用	c=2 d=1 t=31338
yao you 	要有	c=2 d=1 t=18733
yao zuo 	要做	c=1 d=1 t=7334
ye 	也	c=69 d=1.09184 t=31086
ye 	葉	c=1 d=1 t=3480
ye 	頁	c=7 d=0.1 t=31286
ye bu dui 	也不對	c=2 d=1 t=16203
ye bu duo 	也不多	c=1 d=1 t=9126
ye bu shao 	也不少	c=1 d=1 t=1937
ye bu yi ding 	也不一定	c=1 d=1 t=25969
ye bu zhi dao 	也不知道	c=1 d=1 t=23580
ye de 	也得	c=2 d=1 t=28118
ye dou neng 	也都能	c=1 d=1 t=27114
ye hai 	也還	c=1 d=1 t=26456
ye hao 	也好	c=1 d=1 t=22515
ye hui 	也會	c=1 d=1 t=21310
ye hui yong 	也會用	c=1 d=1 t=18403
ye ji 	業績	c=1 d=1.09512 t=18953
ye jia shang 	也加上	c=1 d=1 t=21158
ye jie 	業界	c=1 d=1 t=21481
ye jiu shi 	也就是	c=2 d=1 t=20288
ye kan kan 	也看看	c=1 d=1 t=15045
ye ke neng 	也可能	c=5 d=1 t=30881
ye ke yi 	也可以	c=3 d=1 t=12573
ye ma 	頁碼	c=2 d=1 t=25721
ye mei you 	也沒有	c=3 d=1 t=29277
ye mian 	頁面	c=35 d=2.05038 t=29935
ye neng 	也能	c=1 d=1 t=8347
ye neng yong 	也能用	c=1 d=1 t=15103
ye neng you 	也能有	c=1 d=1 t=1202
ye shi 	也是	c=9 d=1 t=29766
ye shi shi 	也試試	c=1 d=1 t=15198
ye shi zhe ge 	也是這個	c=1 d=1 t=10932
ye tou 	頁頭	c=8 d=2.81024 t=28863
ye wei 	頁尾	c=4 d=1 t=25723
ye wu 	業務	c=52 d=1 t=31188
ye xiang 	也想	c=1 d=1 t=6102
ye xing 	也行	c=6 d=1.0018 t=29546
ye xu yao 	也許要	c=1 d=1 t=12085
ye yao 	也要	c=5 d=1 t=25132
ye ying gai 	也應該	c=1 d=1 t=23365
ye yong 	夜用	c=1 d=1 t=23907
ye you 	也有	c=6 d=1.18452 t=29889
ye you dian 	也有點	c=0 d=0.1 t=15252
ye you dian e le 	也有點餓了	c=1 d=1 t=15253
ye you hao 	也有號	c=1 d=1 t=24981
ye zai 	也在	c=1 d=1 t=2419
ye zhao 	也招	c=1 d=1 t=18479
yi 	一	c=2 d=1 t=28482
yi 	以	c=8 d=2.10817 t=27600
yi 	已	c=14 d=2.52305 t=30656
yi 	怡	c=1 d=1 t=27490
yi 	易	c=1 d=0.898516 t=18275
yi 	益	c=1 d=1 t=30865
yi ban 	一半	c=8 d=2.47681 t=30641
yi ban 	一版	c=2 d=1 t=23943
yi ban 	一般	c=6 d=1 t=30498
yi bei 	一杯	c=1 d=1 t=29444
yi bi 	一筆	c=0 d=0.1 t=24790
yi bian 	一遍	c=3 d=0.1 t=28362
yi bo 	一波	c=6 d=1 t=22537
yi bu 	一步	c=0 d=0.1 t=26523
yi bu 	異步	c=5 d=1.01448 t=31211
yi ceng 	一層	c=1 d=1 t=4235
yi chang 	一場	c=1 d=1 t=667
yi chang 	異常	c=57 d=1.01623 t=29635
yi chang zhong xin 	異常中心	c=1 d=1 t=11410
yi chu 	一出	c=0 d=0.1 t=6639
yi chu shi 	一出事	c=1 d=1 t=6640
yi ci 	一次	c=25 d=1.00001 t=30315
yi ci 	依次	c=2 d=1.9802 t=18622
yi ci liang ci le 	一次兩次了	c=1 d=1 t=18715
yi cuo wu 	易錯誤	c=1 d=1 t=18276
yi da 	一打	c=1 d=1 t=19382
yi da yin 	已打印	c=2 d=1 t=22290
yi dai 	一袋	c=1 d=1 t=29868
yi dan 	一單	c=2 d=1 t=29908
yi dan 	一旦	c=1 d=1 t=24847
yi dao 	移到	c=1 d=1 t=16492
yi de fu ren 	以德服人	c=1 d=1 t=6644
yi di 	異地	c=1 d=1 t=15755
yi dian 	一點	c=17 d=1.0001 t=28853
yi dian 	已點	c=1 d=1 t=24378
yi dian dian 	一點點	c=1 d=1 t=17786
yi ding 	一定	c=2 d=1 t=6086
yi dong 	移動	c=2 d=1 t=20816
yi dong duan 	移動端	c=2 d=1 t=27432
yi duan kai 	已斷開	c=1 d=1 t=13671
yi dui 	一堆	c=4 d=1.00003 t=26917
yi dun 	一頓	c=4 d=1.06839 t=22982
yi fa 	一發	c=0 d=0.1 t=3806
yi fa sheng 	一發生	c=1 d=1 t=3807
yi fa song 	已發送	c=1 d=1 t=6436
yi fen 	一份	c=2 d=0.1 t=26640
yi fu 	衣服	c=1 d=1 t=5924
yi gao 	一搞	c=0 d=0.1 t=31147
yi ge 	一個	c=166 d=3.4891 t=31419
yi ge ren 	一個人	c=4 d=1.00029 t=22665
yi ge shi 	一個是	c=3 d=1 t=28324
yi ge shi jian 	一個時間	c=1 d=0.1 t=21544
yi ge xiao shi 	一個小時	c=1 d=1 t=13221
yi ge yi ge 	一個一個	c=3 d=1.00043 t=28283
yi ge yue 	一個月	c=2 d=1 t=28573
yi ge zhang hao 	一個帳號	c=1 d=1 t=2032
yi ge zu jian 	一個組件	c=1 d=1 t=30709
yi gen 	一根	c=2 d=1.00002 t=16031
yi geng xin 	已更新	c=2 d=1.00411 t=9856
yi gu 	一股	c=2 d=1.5886 t=28640
yi hou 	以後	c=6 d=1 t=26623
yi huan 	醫患	c=0 d=0.1 t=31188
yi huan ping tai 	醫患平臺	c=1 d=1 t=31189
yi hui er 	一會兒	c=41 d=1.00056 t=31160
yi ji 	以及	c=3 d=1 t=29218
yi jia 	一家	c=2 d=1.00003 t=26831
yi jian 	一鍵	c=2 d=1 t=21170
yi jian 	意見	c=2 d=1 t=27751
yi jie 	一節	c=1 d=1 t=1465
yi jing 	已經	c=17 d=1 t=28552
yi jing pei hao 	已經配好	c=1 d=1 t=9607
yi ju hua 	一句話	c=1 d=1 t=29324
yi kai shi 	一開始	c=6 d=1 t=30141
yi kan 	一看	c=2 d=1 t=25842
yi ke 	一課	c=1 d=1 t=21002
yi kuai 	一塊	c=3 d=1 t=20811
yi lai 	依賴	c=5 d=1 t=31243
yi lai zhu ru 	依賴注入	c=1 d=1 t=3958
yi lan 	一覽	c=1 d=1 t=1493
yi lao yong yi 	一勞永逸	c=1 d=1 t=21912
yi liang tian 	一兩天	c=1 d=1 t=20290
yi liao 	醫療	c=1 d=1 t=31187
yi lie 	一列	c=1 d=1 t=19241
yi liu 	遺留	c=1 d=1 t=28077
yi mian 	一面	c=1 d=1 t=2425
yi miao 	一秒	c=1 d=1 t=24206
yi miao 	疫苗	c=1 d=1 t=19
yi nei 	以內	c=1 d=1 t=10405
yi nian 	一年	c=4 d=1 t=24775
yi nian duo 	一年多	c=1 d=1 t=26849
yi pi 	一批	c=1 d=1 t=1807
yi pi gu 	一屁股	c=1 d=1 t=21889
yi qi 	一起	c=40 d=1.0509 t=30223
yi qi 	儀器	c=1 d=1 t=15010
yi qi de 	一起的	c=1 d=1 t=23334
yi qian 	以前	c=1 d=1 t=19498
yi qian de 	以前的	c=1 d=1 t=11734
yi qie 	一切	c=2 d=1 t=27676
yi qing 	一清	c=0 d=0.1 t=26793
yi shang 	以上	c=3 d=1 t=5297
yi shen 	一審	c=1 d=1 t=22596
yi shi ban hui er 	一時半會兒	c=1 d=1 t=28288
yi si 	意思	c=8 d=1.44325 t=24128
yi tai 	一臺	c=5 d=1 t=25922
yi tao 	一套	c=5 d=1.95123 t=12931
yi ti 	議題	c=3 d=1 t=30834
yi ti gong 	已提供	c=1 d=1 t=10608
yi tian 	一天	c=7 d=0.1 t=27384
yi tiao 	一條	c=1 d=1 t=15753
yi tiao 	一跳	c=1 d=1 t=16453
yi wan cheng 	已完成	c=3 d=1 t=26015
yi wei 	以爲	c=2 d=1 t=28701
yi xia 	一下	c=145 d=1.94389 t=31496
yi xia 	以下	c=11 d=1.00019 t=13377
yi xia ba 	一下吧	c=1 d=1 t=28281
yi xiang 	一項	c=1 d=0.1 t=30424
yi xiang bu dao 	意想不到	c=1 d=1 t=3078
yi xie 	一些	c=11 d=1 t=31201
yi xin 	怡欣	c=1 d=1 t=28542
yi yang 	一樣	c=16 d=1 t=30815
yi yang ma 	一樣嗎	c=1 d=1 t=23146
yi yao dai biao 	醫藥代表	c=1 d=1 t=15013
yi yi 	意義	c=2 d=1 t=25874
yi yi 	疑議	c=1 d=1 t=27597
yi yuan 	醫院	c=8 d=1 t=28120
yi zhan shi 	一站式	c=1 d=1 t=8037
yi zhang 	一張	c=6 d=0.512202 t=31352
yi zhang tu 	一張圖	c=2 d=1.28794 t=10254
yi zheng 	一整	c=1 d=1 t=17781
yi zhi 	一直	c=16 d=2.56078 t=29693
yi zhi 	一致	c=7 d=1 t=28719
yi zhi shuo 	一直說	c=1 d=1 t=1142
yi zhi zai 	一直在	c=2 d=1 t=27723
yi zhong 	一種	c=4 d=1 t=28840
yi zhou 	一週	c=7 d=1 t=30029
yin 	引	c=1 d=1 t=31237
yin chu lai 	引出來	c=1 d=1 t=23712
yin dao 	引導	c=3 d=1.9802 t=29754
yin hao 	引號	c=2 d=1.98511 t=10266
yin qing 	引擎	c=2 d=1 t=12936
yin si 	隱私	c=10 d=1 t=8783
yin su 	因素	c=1 d=1 t=26233
yin wei 	因爲	c=39 d=1.05032 t=29892
yin ying 	陰影	c=1 d=1 t=10256
yin yong 	引用	c=3 d=1 t=24540
ying 	硬	c=1 d=1 t=19186
ying 	英	c=1 d=1 t=20299
ying cun 	英寸	c=8 d=1.96561 t=24370
ying gai 	應該	c=112 d=2.38998 t=31426
ying gai shi 	應該是	c=27 d=1.00002 t=31230
ying gai wei 	應該爲	c=1 d=1 t=22588
ying jian 	硬件	c=2 d=1.83946 t=3786
ying jie 	迎接	c=1 d=1 t=12758
ying pan 	硬盤	c=1 d=1 t=2071
ying she 	映射	c=1 d=1 t=31296
ying tao 	櫻桃	c=2 d=1.60957 t=30040
ying wei 	應爲	c=1 d=1 t=7097
ying wen 	英文	c=3 d=1 t=12395
ying wen ming 	英文名	c=1 d=1 t=18081
ying xiang 	影響	c=19 d=1.00134 t=31365
ying yong 	應用	c=31 d=1.22115 t=21565
ying yong ming 	應用名	c=4 d=3.84563 t=4703
yong 	用	c=126 d=2.70894 t=31396
yong bu dao 	用不到	c=1 d=1 t=12202
yong bu liao 	用不了	c=3 d=1 t=22186
yong bu yao 	用不要	c=1 d=1 t=21151
yong bu yong 	用不用	c=4 d=1 t=29882
yong dao 	用到	c=6 d=1 t=29212
yong de 	用的	c=25 d=1 t=31309
yong de dao 	用得到	c=1 d=1 t=20538
yong de duo 	用的多	c=1 d=1 t=24094
