# Rime user dictionary
#@/db_name	sougou
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6400
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=9 d=0.00278899 t=6400
xia hua xian 	下划线	c=1 d=4.38459e-07 t=6400
xia lou 	下楼	c=1 d=1.46353e-10 t=6400
xia mian 	下面	c=1 d=9.42727e-13 t=6400
xia wu 	下午	c=1 d=0.477114 t=6400
xian 	先	c=18 d=0.0563082 t=6400
xian 	现	c=1 d=0.000480781 t=6400
xian 	线	c=1 d=0.00484407 t=6400
xian ba 	先把	c=1 d=2.53624e-08 t=6400
xian chang 	现场	c=1 d=0.470011 t=6400
xian cheng 	现成	c=3 d=9.55583e-11 t=6400
xian kan 	现看	c=1 d=3.15165e-05 t=6400
xian kan kan 	先看看	c=1 d=3.31549e-13 t=6400
xian ru 	陷入	c=1 d=0.159614 t=6400
xian shang 	线上	c=1 d=2.97782e-14 t=6400
xian shi 	显示	c=1 d=2.77461e-06 t=6400
xian xia 	线下	c=1 d=0.0106202 t=6400
xian you 	现有	c=1 d=0.0166557 t=6400
xian zai 	现在	c=29 d=1.03859 t=6400
xian zhao 	先找	c=1 d=2.02103e-13 t=6400
xiang 	像	c=1 d=1.5535e-06 t=6400
xiang 	想	c=4 d=0.102284 t=6400
xiang 	相	c=1 d=7.87432e-13 t=6400
xiang 	项	c=1 d=9.93627e-14 t=6400
xiang fa 	想法	c=1 d=6.70548e-05 t=6400
xiang guan 	相关	c=1 d=0.000198445 t=6400
xiang guan 	象管	c=1 d=7.83504e-13 t=6400
xiang le xiang 	想了想	c=1 d=1.10841e-05 t=6400
xiang ming bai le 	想明白了	c=1 d=1.48565e-10 t=6400
xiang mu 	项目	c=14 d=0.00202514 t=6400
xiang qi lai 	想起来	c=3 d=0.131343 t=6400
xiang xi 	向西	c=1 d=0.0248475 t=6400
xiang xi 	详细	c=1 d=0.024972 t=6400
xiang xiang 	想想	c=3 d=1.76476e-05 t=6400
xiang yao 	想要	c=2 d=0.000602417 t=6400
xiang ying 	响应	c=2 d=2.70003e-13 t=6400
xiang zuo 	向左	c=1 d=6.24026e-12 t=6400
xiao 	校	c=3 d=0.104874 t=6400
xiao cheng xu 	小程序	c=25 d=0.000894526 t=6400
xiao fen dui 	小分队	c=2 d=0.398519 t=6400
xiao guo 	效果	c=2 d=7.02028e-09 t=6400
xiao ji 	小计	c=4 d=6.98926e-09 t=6400
xiao lv 	效率	c=7 d=0.505124 t=6400
xiao qian 	小钱	c=1 d=0.00259284 t=6400
xiao shou 	销售	c=2 d=0.00460283 t=6400
xiao shou dan 	销售单	c=1 d=0.0376283 t=6400
xiao shou dan hao 	销售单号	c=1 d=3.21641e-09 t=6400
xiao xie 	小写	c=1 d=2.26148e-12 t=6400
xiao yan 	校验	c=3 d=0.371126 t=6400
xie 	写	c=9 d=0.940007 t=6400
xie dai ma 	写代码	c=1 d=8.31387e-05 t=6400
xie dao 	写到	c=1 d=1.35778e-10 t=6400
xie le 	写了	c=1 d=6.84094e-05 t=6400
xie le ge 	写了个	c=1 d=0.000185029 t=6400
xie ru 	写入	c=3 d=1.23668e-09 t=6400
xie tian 	写天	c=1 d=1.02584e-06 t=6400
xie wan 	写完	c=2 d=0.136695 t=6400
xie wei 	谢伟	c=2 d=0.0608101 t=6400
xie yi ge 	写一个	c=1 d=0.000605171 t=6400
xie zuo 	协作	c=1 d=0.00364281 t=6400
xin 	新	c=2 d=4.19833e-12 t=6400
xin de 	心得	c=1 d=1.10326e-09 t=6400
xin de 	新得	c=1 d=9.9586e-11 t=6400
xin jian ba 	新建吧	c=1 d=2.29449e-06 t=6400
xin kou 	信口	c=0 d=3.57128e-06 t=6400
xin kou kai he 	信口开河	c=1 d=3.58919e-05 t=6400
xin lai 	新来	c=1 d=1.4962e-05 t=6400
xin li 	心理	c=1 d=0.178173 t=6400
xin ren 	新人	c=1 d=1.16243e-06 t=6400
xin wen lian bo 	新闻联播	c=1 d=2.1616e-10 t=6400
xin xi 	信息	c=1 d=1.9657e-10 t=6400
xin zeng 	新增	c=2 d=2.21065e-09 t=6400
xing 	性	c=1 d=2.27321e-14 t=6400
xing ba 	行吧	c=1 d=0.00263203 t=6400
xing bu 	行不	c=0 d=1.30454e-11 t=6400
xing bu tong 	行不通	c=1 d=1.31108e-10 t=6400
xing bu xing 	行不行	c=1 d=1.78234e-05 t=6400
xing ma 	行吗	c=1 d=0.0471227 t=6400
xing shi 	形式	c=1 d=9.23431e-05 t=6400
xiu 	修	c=1 d=0.00133343 t=6400
xiu fu 	修复	c=3 d=1.46449e-09 t=6400
xiu gai 	修改	c=6 d=0.0252397 t=6400
xiu tu 	修图	c=1 d=5.74659e-13 t=6400
xu 	许	c=1 d=0.00990218 t=6400
xu bu xu yao 	需不需要	c=1 d=0.075774 t=6400
xu hao 	序号	c=5 d=8.18659e-12 t=6400
xu qiu 	需求	c=15 d=0.904837 t=6400
xu yao 	需要	c=15 d=0.860557 t=6400
xuan ran 	渲染	c=7 d=5.00763e-08 t=6400
xuan wan 	选完	c=1 d=0.0441572 t=6400
xuan ze 	选择	c=2 d=0.191942 t=6400
xuan zhong 	选中	c=1 d=1.22265e-12 t=6400
xue 	薛	c=1 d=4.45161e-09 t=6400
xun huan 	循环	c=1 d=2.82383e-07 t=6400
ya 	压	c=1 d=2.92591e-13 t=6400
ya ce 	压测	c=2 d=6.00767e-14 t=6400
ya le 	压了	c=1 d=4.35442e-14 t=6400
ya li 	压力	c=1 d=4.13994e-08 t=6400
ya wei 	亚威	c=4 d=0.00191511 t=6400
yan 	烟	c=0 d=1.46353e-11 t=6400
yan 	闫	c=1 d=0.00562801 t=6400
yan 	验	c=2 d=1.19005e-09 t=6400
yan cheng qu 	闫成渠	c=3 d=0.826959 t=6400
yan jiu 	研究	c=2 d=0.000121572 t=6400
yan zheng 	炎症	c=1 d=8.44096e-07 t=6400
yan zheng 	验证	c=3 d=0.599059 t=6400
yan zheng xia 	验证下	c=1 d=0.00895987 t=6400
yan zhong 	严重	c=1 d=0.000273284 t=6400
yan zhong 	眼中	c=1 d=0.000271921 t=6400
yang de 	样的	c=2 d=0.000127576 t=6400
yang rou 	羊肉	c=2 d=3.76719e-08 t=6400
yao 	要	c=10 d=0.0362275 t=6400
yao bu 	要不	c=1 d=0.00767337 t=6400
yao bu jiu 	要不就	c=0 d=0.000752142 t=6400
yao bu jiu ni 	要不就你	c=1 d=0.00755912 t=6400
yao bu yao 	要不要	c=3 d=5.62919e-05 t=6400
yao kan 	要看	c=1 d=0.0780817 t=6400
yao le 	要了	c=0 d=4.11999e-11 t=6400
yao le ma 	要了吗	c=1 d=4.14064e-10 t=6400
yao qiu 	要求	c=6 d=0.970446 t=6400
yao shi 	要使	c=1 d=6.60902e-11 t=6400
ye 	也	c=18 d=0.104213 t=6400
ye bu dui 	也不对	c=1 d=1.42395e-11 t=6400
ye bu neng 	也不能	c=1 d=0.064894 t=6400
ye de 	也得	c=1 d=3.91972e-12 t=6400
ye jian 	夜间	c=1 d=4.64449e-08 t=6400
ye jiu shi 	也就是	c=1 d=2.80927e-05 t=6400
ye ke neng 	也可能	c=2 d=5.34443e-05 t=6400
ye ma 	页码	c=3 d=2.00555e-05 t=6400
ye mei 	也没	c=0 d=0.00518189 t=6400
ye mei da 	也没打	c=1 d=0.0520787 t=6400
ye mei you 	也没有	c=1 d=7.92887e-06 t=6400
ye mian 	页面	c=13 d=0.851031 t=6400
ye shi 	也使	c=1 d=3.51082e-10 t=6400
ye wu 	业务	c=6 d=0.434456 t=6400
yi 	一	c=1 d=1.42032e-11 t=6400
yi 	怡	c=1 d=6.09778e-05 t=6400
yi ban 	一般	c=1 d=4.49558e-07 t=6400
yi bo 	一波	c=4 d=4.81205e-05 t=6400
yi bu 	异步	c=2 d=0.909373 t=6400
yi bu de 	异步的	c=1 d=0.955997 t=6400
yi ce 	一侧	c=0 d=1.13647e-06 t=6400
yi chang 	异常	c=11 d=0.00184498 t=6400
yi ci 	一次	c=4 d=0.0219482 t=6400
yi ci 	以此	c=2 d=1.24118e-11 t=6400
yi ci da 	一次打	c=1 d=0.0911727 t=6400
yi da yin 	一打印	c=1 d=1.41319e-10 t=6400
yi dan 	一单	c=2 d=3.24674e-13 t=6400
yi dian dian 	一点点	c=1 d=0.0958472 t=6400
yi dui 	一堆	c=2 d=3.72314e-05 t=6400
yi dui ren 	一堆人	c=1 d=2.43132e-11 t=6400
yi fu 	一夫	c=1 d=0.000422213 t=6400
yi ge 	一个	c=48 d=1.47787 t=6400
yi ge ren 	一个人	c=1 d=2.5058e-13 t=6400
yi ge tu 	一个图	c=1 d=4.08816e-07 t=6400
yi gen 	一根	c=1 d=0.100259 t=6400
yi hou 	以后	c=2 d=0.0126804 t=6400
yi hui er 	一会儿	c=5 d=0.000695642 t=6400
yi jian 	一件	c=1 d=0.179066 t=6400
yi jing 	已经	c=6 d=0.70856 t=6400
yi kai shi 	一开始	c=1 d=7.3041e-11 t=6400
yi lai 	依赖	c=1 d=0.00106477 t=6400
yi lai de 	依赖的	c=1 d=1.87372e-05 t=6400
yi nian 	一年	c=1 d=0.229925 t=6400
yi qi 	一起	c=6 d=3.64779e-05 t=6400
yi qi yong 	一起用	c=1 d=2.92541e-11 t=6400
yi qian 	以前	c=1 d=0.0135009 t=6400
yi qing 	疫情	c=1 d=1.47062e-08 t=6400
yi shang 	以上	c=2 d=0.000449016 t=6400
yi tai 	一台	c=2 d=3.88694e-11 t=6400
yi tai 	以太	c=0 d=1.67968e-14 t=6400
yi tao 	一套	c=1 d=9.64096e-12 t=6400
yi tian 	一天	c=1 d=0.183599 t=6400
yi tiao 	一条	c=2 d=5.53268e-09 t=6400
yi tuo 	一坨	c=1 d=3.58236e-12 t=6400
yi wan shang 	一晚上	c=1 d=1.25967e-10 t=6400
yi wei 	以为	c=1 d=6.23919e-10 t=6400
yi wei 	移位	c=1 d=6.20808e-10 t=6400
yi xia 	一下	c=27 d=1.84747 t=6400
yi xia 	以下	c=2 d=0.000208678 t=6400
yi yang 	一样	c=3 d=0.0149349 t=6400
yi ye 	一页	c=1 d=1.69541e-05 t=6400
yi yi 	意义	c=1 d=7.06873e-08 t=6400
yi zhang 	一张	c=2 d=2.8401e-08 t=6400
yi zheng tao 	一整套	c=1 d=0.0285814 t=6400
yi zhi 	一直	c=4 d=0.0366992 t=6400
yi zhi 	一致	c=1 d=3.24763e-05 t=6400
yi zhi yong 	一直用	c=1 d=1.19246e-12 t=6400
yi zhong 	一种	c=2 d=1.06127e-11 t=6400
yi zhou 	一周	c=1 d=0.188247 t=6400
yin dao 	引到	c=1 d=0.0198411 t=6400
yin dao 	引导	c=1 d=0.0203434 t=6400
yin wei 	因为	c=8 d=0.822923 t=6400
yin yong 	引用	c=9 d=0.000203797 t=6400
ying gai 	应该	c=17 d=0.842889 t=6400
ying gai shi 	应该是	c=8 d=0.0742391 t=6400
ying xiang 	影像	c=1 d=4.39594e-08 t=6400
ying xiang 	影响	c=2 d=1.46516e-07 t=6400
ying xiang 	映像	c=1 d=8.98612e-08 t=6400
ying yong ming 	应用名	c=2 d=1.74525e-11 t=6400
yong 	用	c=24 d=0.193293 t=6400
yong bu 	用不	c=2 d=2.96811e-05 t=6400
yong bu liao 	用不了	c=2 d=0.0862936 t=6400
yong dao 	用到	c=1 d=0.00116504 t=6400
yong de 	用得	c=2 d=0.786628 t=6400
yong guo ma 	用过吗	c=1 d=0.000555857 t=6400
yong hu 	用户	c=3 d=0.0266491 t=6400
yong hu ming 	用户名	c=4 d=0.00119375 t=6400
yong hu zhong xin 	用户中心	c=6 d=1.32473e-09 t=6400
yong hui 	永辉	c=3 d=5.45535e-12 t=6400
yong ke hu duan 	用客户端	c=1 d=5.39888e-14 t=6400
yong lai 	用来	c=2 d=1.81865e-07 t=6400
yong le 	用了	c=1 d=0.000135709 t=6400
yong li 	用例	c=6 d=1.09234 t=6400
yong ma 	用吗	c=1 d=0.00128115 t=6400
yong wan 	用完	c=2 d=5.32455e-05 t=6400
you 	又	c=6 d=0.00013845 t=6400
you 	右	c=1 d=6.20913e-12 t=6400
you 	有	c=32 d=0.339075 t=6400
you a 	有啊	c=1 d=6.13044e-09 t=6400
you bi yao 	有必要	c=1 d=5.23575e-06 t=6400
you de 	有的	c=5 d=0.156165 t=6400
you dian 	有点	c=1 d=3.85009e-07 t=6400
you dian re 	有点热	c=1 d=0.00337959 t=6400
you ge 	有个	c=4 d=3.3161e-05 t=6400
you hua 	优化	c=4 d=4.13049e-05 t=6400
you jian 	右键	c=1 d=1.3814e-07 t=6400
you kan 	有看	c=1 d=1.64245e-14 t=6400
you kong de 	有空的	c=1 d=3.62649e-09 t=6400
you ma 	有吗	c=1 d=4.17288e-13 t=6400
you mei you 	有没有	c=19 d=0.247274 t=6400
you meng 	友盟	c=1 d=4.19308e-11 t=6400
you neng 	又能	c=1 d=3.50057e-05 t=6400
you shen me 	有什么	c=1 d=8.25667e-12 t=6400
you shi hou 	有时候	c=1 d=3.77385e-07 t=6400
you suo 	有所	c=1 d=0.0164078 t=6400
you wen ti 	有问题	c=4 d=0.0464212 t=6400
you xian 	有限	c=1 d=2.10859e-12 t=6400
you xian ji 	优先级	c=1 d=2.5175e-09 t=6400
you xie 	有些	c=1 d=0.0042963 t=6400
you yi ge 	有一个	c=3 d=0.479774 t=6400
you yi zhong 	有一种	c=1 d=0.597501 t=6400
yu dao 	遇到	c=1 d=3.34767e-09 t=6400
yu lan 	预览	c=1 d=0.0934807 t=6400
yu mi 	玉米	c=1 d=1.95557e-08 t=6400
yu ming 	域名	c=3 d=3.84353e-09 t=6400
yu qi 	语气	c=1 d=0.852144 t=6400
yu sheng chan 	预生产	c=2 d=8.93354e-12 t=6400
yuan 	员	c=0 d=1.01878e-14 t=6400
yuan 	源	c=2 d=1.09519e-08 t=6400
yuan dan hao 	原单号	c=1 d=2.55511e-07 t=6400
yuan lai 	原来	c=6 d=0.0173386 t=6400
yuan man jie shu 	圆满结束	c=1 d=3.83284e-13 t=6400
yuan su 	元素	c=3 d=0.114002 t=6400
yuan yin 	原因	c=1 d=4.4855e-10 t=6400
yuan you 	原有	c=1 d=0.0169075 t=6400
yuan ze 	原则	c=1 d=6.18994e-05 t=6400
yue 	月	c=5 d=0.377377 t=6400
yue chu 	月初	c=1 d=2.56129e-06 t=6400
yun 	云	c=4 d=0.0319048 t=6400
yun feng 	云凤	c=2 d=2.14239e-07 t=6400
yun feng 	云风	c=1 d=1.32768e-11 t=6400
yun wei 	运维	c=1 d=1.12012e-11 t=6400
yun xing 	运行	c=2 d=3.78597e-09 t=6400
yun xing shi 	运行时	c=1 d=8.27381e-07 t=6400
zai 	再	c=23 d=0.419497 t=6400
zai 	在	c=32 d=0.969426 t=6400
zai ce 	在测	c=1 d=1.70948e-14 t=6400
zai fa yi ci 	再发一次	c=1 d=9.90724e-09 t=6400
zai lai 	再来	c=6 d=1.34361e-12 t=6400
zai lai yi ci 	再来一次	c=1 d=1.53512e-13 t=6400
zai na ge 	在那个	c=1 d=2.31873e-12 t=6400
zai shi shi 	再试试	c=1 d=1.13724e-13 t=6400
zai shi xia 	再试下	c=1 d=4.16281e-14 t=6400
zai xiang 	在想	c=1 d=4.72849e-13 t=6400
zai zhe 	在这	c=2 d=0.12938 t=6400
zai zuo le 	在做了	c=1 d=5.52126e-13 t=6400
zan 	攒	c=2 d=4.78805e-05 t=6400
zan ding 	暂定	c=1 d=6.30083e-08 t=6400
zao 	早	c=2 d=1.50912e-10 t=6400
zao shang 	早上	c=3 d=8.79308e-09 t=6400
zao zao 	早早	c=1 d=1.25621e-07 t=6400
ze 	则	c=2 d=2.52345e-08 t=6400
zen me 	怎么	c=13 d=0.271363 t=6400
zen me nong 	怎么弄	c=1 d=8.46713e-14 t=6400
zen me pai 	怎么排	c=1 d=1.84645e-09 t=6400
zen me shi 	怎么是	c=1 d=1.48206e-11 t=6400
zen me yang 	怎么样	c=2 d=0.701173 t=6400
zeng jia 	增加	c=1 d=9.95351e-05 t=6400
zha le 	炸了	c=1 d=2.76171e-10 t=6400
zhai wu 	债务	c=1 d=0.00358858 t=6400
zhan 	栈	c=1 d=2.73991e-05 t=6400
zhan ku 	站酷	c=1 d=5.88906e-07 t=6400
zhan shi 	展示	c=1 d=3.26558e-11 t=6400
zhan xian 	战线	c=1 d=8.08904e-06 t=6400
zhan yong 	占用	c=1 d=7.10779e-14 t=6400
zhan zai 	站在	c=1 d=0.0265162 t=6400
zhang bing 	张兵	c=2 d=8.13805e-08 t=6400
zhang hao 	张浩	c=10 d=0.0060317 t=6400
zhang hao 	账号	c=4 d=0.000435224 t=6400
zhang tao 	张涛	c=2 d=0.00941925 t=6400
zhang wo 	掌握	c=2 d=0.0258615 t=6400
zhao 	找	c=14 d=2.28196e-06 t=6400
zhao 	招	c=4 d=2.97219e-05 t=6400
zhao 	照	c=2 d=2.60628e-05 t=6400
zhao 	赵	c=3 d=1.1442e-10 t=6400
zhao bu dao 	找不到	c=1 d=4.10865e-07 t=6400
zhao chu 	找出	c=1 d=3.97829e-10 t=6400
zhao chu lai 	找出来	c=2 d=1.46914e-05 t=6400
zhao dao 	找到	c=3 d=2.21896e-10 t=6400
zhao dao le 	找到了	c=1 d=0.00143012 t=6400
zhao fu jia 	赵富佳	c=2 d=8.26173e-11 t=6400
zhao ge 	找个	c=3 d=0.000424334 t=6400
zhao ji 	着急	c=1 d=0.843665 t=6400
zhao le 	找了	c=1 d=2.4192e-11 t=6400
zhao pin 	招聘	c=1 d=1.29759e-06 t=6400
zhao ren 	找人	c=1 d=1.13647e-05 t=6400
zhao ta 	找他	c=2 d=1.37843e-11 t=6400
zhao wo 	找我	c=2 d=6.5822e-12 t=6400
zhe 	这	c=4 d=2.29848e-07 t=6400
zhe bian 	这边	c=2 d=9.72843e-09 t=6400
zhe bin ma 	这斌吗	c=1 d=1.0365e-10 t=6400
zhe ci 	这次	c=3 d=1.02881e-09 t=6400
zhe ge 	这个	c=85 d=2.96688 t=6400
zhe ge chang jing 	这个场景	c=1 d=5.73175e-12 t=6400
zhe ge hui 	这个会	c=2 d=0.00657652 t=6400
zhe ge ne 	这个呢	c=1 d=0.000140543 t=6400
zhe ge pan 	这个盘	c=1 d=2.1717e-06 t=6400
zhe ge qun 	这个群	c=1 d=4.70251e-07 t=6400
zhe ge qun li 	这个群里	c=1 d=0.00096344 t=6400
zhe ge shi 	这个事	c=1 d=1.09813e-13 t=6400
zhe ge yue 	这个月	c=1 d=0.000916453 t=6400
zhe ji ge 	这几个	c=1 d=0.0153363 t=6400
zhe ji ge hui 	这几个会	c=1 d=0.154124 t=6400
zhe ji tian 	这几天	c=6 d=0.104829 t=6400
zhe li 	着力	c=3 d=5.19984e-08 t=6400
zhe li 	这里	c=2 d=5.22149e-08 t=6400
zhe li de 	这里的	c=1 d=3.09082e-11 t=6400
zhe liang 	这俩	c=0 d=5.44943e-07 t=6400
zhe liang dan 	这俩单	c=1 d=5.47674e-06 t=6400
zhe liang ge 	这两个	c=2 d=1.8558e-05 t=6400
zhe liang tian 	这两天	c=1 d=0.97531 t=6400
zhe me 	这么	c=3 d=0.00337263 t=6400
zhe me duo 	这么多	c=1 d=0.0710054 t=6400
zhe me duo de 	这么多的	c=1 d=0.0837432 t=6400
zhe me kuai 	这么快	c=1 d=4.0391e-12 t=6400
zhe mo 	折磨	c=1 d=0.00122477 t=6400
zhe san zhong 	这三种	c=1 d=6.36632e-12 t=6400
zhe shi 	这事	c=7 d=0.0289173 t=6400
zhe shi 	这是	c=6 d=0.397831 t=6400
zhe shi hou 	这时候	c=2 d=0.189191 t=6400
zhe ta ma 	这他妈	c=1 d=0.0746459 t=6400
zhe tai 	这台	c=3 d=3.84084e-08 t=6400
zhe tao 	这套	c=1 d=7.81481e-12 t=6400
zhe tiao 	这条	c=1 d=0.694197 t=6400
zhe wan yi 	这玩意	c=2 d=2.47327e-06 t=6400
zhe xie 	这些	c=1 d=3.26391e-05 t=6400
zhe yang 	这样	c=1 d=0.0468877 t=6400
zhe yang ba 	这样吧	c=1 d=1.09738e-05 t=6400
zhe yang ma 	这样吗	c=1 d=3.36388e-07 t=6400
zhe yi bo 	这一波	c=1 d=4.98379e-14 t=6400
zhe yi ge 	这一个	c=1 d=2.80297e-08 t=6400
zhe yi kuai 	这一块	c=1 d=4.4279e-05 t=6400
zhe yi tao 	这一套	c=1 d=1.30454e-10 t=6400
zhe zhong 	这种	c=2 d=3.91035e-07 t=6400
zhe zhong ma 	这种吗	c=1 d=1.60993e-14 t=6400
zhen 	真	c=1 d=0.00273944 t=6400
zhen cheng 	真诚	c=1 d=0.0152985 t=6400
zhen de 	振德	c=1 d=0.000281606 t=6400
zhen de 	真的	c=1 d=0.000283018 t=6400
zhen dui 	针对	c=2 d=1.39666e-11 t=6400
zhen ji 	真机	c=4 d=0.00089619 t=6400
zhen shi 	真事	c=1 d=8.36124e-13 t=6400
zhen shi 	真实	c=1 d=8.40315e-13 t=6400
zheng 	正	c=1 d=0.060205 t=6400
zheng chang 	正常	c=1 d=5.90329e-06 t=6400
zheng ge 	整个	c=1 d=7.94804e-05 t=6400
zheng hao 	正好	c=1 d=0.000997758 t=6400
zheng li 	整理	c=3 d=0.00108628 t=6400
zheng li 	正理	c=1 d=7.54474e-10 t=6400
zheng ming 	证明	c=1 d=1.28512e-10 t=6400
zheng ti 	整体	c=1 d=0.0256042 t=6400
zheng zai gai 	正在改	c=1 d=2.34124e-08 t=6400
zheng ze 	正则	c=2 d=0.000587577 t=6400
zhi 	值	c=6 d=0.141641 t=6400
zhi 	只	c=2 d=0.000123727 t=6400
zhi 	纸	c=1 d=8.94282e-10 t=6400
zhi biao 	指标	c=3 d=0.301239 t=6400
zhi chi 	支持	c=3 d=5.55155e-09 t=6400
zhi dao 	之道	c=2 d=3.52184e-05 t=6400
zhi dao 	知道	c=6 d=0.000160636 t=6400
zhi de 	值得	c=1 d=0.00504176 t=6400
zhi ding 	制定	c=1 d=0.00449405 t=6400
zhi ding 	只定	c=1 d=0.00150344 t=6400
zhi fan hui 	只返回	c=1 d=9.37706e-09 t=6400
zhi fu bao 	支付宝	c=1 d=1.43777e-07 t=6400
zhi hou 	之后	c=7 d=0.260404 t=6400
zhi hu 	知乎	c=1 d=3.14458e-08 t=6400
zhi hui 	只会	c=1 d=0.171187 t=6400
zhi jian 	之间	c=1 d=4.69116e-08 t=6400
zhi jie 	直接	c=10 d=0.892079 t=6400
zhi kan 	只看	c=1 d=2.72013e-08 t=6400
zhi lei 	之类	c=2 d=3.67728e-11 t=6400
zhi liang 	质量	c=1 d=0.000483239 t=6400
zhi neng 	只能	c=3 d=1.86493e-08 t=6400
zhi qian 	之前	c=23 d=1.2587 t=6400
zhi shao 	至少	c=1 d=1.07047e-07 t=6400
zhi shi 	只是	c=1 d=0.00472447 t=6400
zhi shi 	致使	c=1 d=0.00463092 t=6400
zhi shi dian 	知识点	c=2 d=1.23834e-07 t=6400
zhi shi shuo 	只是说	c=1 d=0.0695994 t=6400
zhi song dan 	直送单	c=1 d=0.00835412 t=6400
zhi yao 	只要	c=2 d=0.000757869 t=6400
zhi you 	之右	c=1 d=4.99584e-13 t=6400
zhi you 	只有	c=5 d=1.15595e-06 t=6400
zhi zhang 	纸张	c=1 d=6.23707e-06 t=6400
zhi zhen 	指针	c=1 d=2.14454e-05 t=6400
zhi zuo 	之作	c=1 d=6.19416e-13 t=6400
zhi zuo 	只作	c=1 d=9.51553e-05 t=6400
zhong 	中	c=6 d=0.143763 t=6400
zhong dian 	重典	c=1 d=0.985112 t=6400
zhong dian 	重点	c=1 d=0.99005 t=6400
zhong guo 	中国	c=2 d=1.70119e-08 t=6400
zhong jian 	中间	c=1 d=8.11412e-13 t=6400
zhong tai 	中台	c=6 d=5.55707e-07 t=6400
zhong wu 	中午	c=1 d=0.000325548 t=6400
zhong yao 	重要	c=1 d=3.31324e-05 t=6400
zhong zai 	重在	c=1 d=4.91895e-07 t=6400
zhou 	周	c=2 d=0.00514366 t=6400
zhou hui 	周会	c=4 d=0.0161037 t=6400
zhou qi 	周期	c=5 d=0.392603 t=6400
zhou ri 	周日	c=1 d=1.34427e-10 t=6400
zhou wan 	周万	c=1 d=2.19427e-10 t=6400
zhou wu 	周五	c=1 d=0.0102037 t=6400
zhou yi 	周一	c=1 d=1.39215e-10 t=6400
zhu 	住	c=1 d=0.0544757 t=6400
zhu 	祝	c=1 d=0.000639387 t=6400
zhu chi 	主持	c=1 d=5.6173e-10 t=6400
zhu gan 	主干	c=4 d=6.97935e-05 t=6400
zhu kai 	主开	c=2 d=0.0123965 t=6400
zhu li 	助力	c=1 d=2.72764e-11 t=6400
zhu liu cheng 	主流程	c=5 d=0.440537 t=6400
zhu shi 	注释	c=2 d=3.03136e-10 t=6400
zhu yao 	主要	c=5 d=4.35671e-05 t=6400
zhu yao shi 	主要是	c=4 d=0.000209997 t=6400
zhu yi 	朱衣	c=1 d=6.89303e-06 t=6400
zhu yi 	注意	c=1 d=6.92758e-06 t=6400
zhu yi dian 	注意点	c=1 d=0.0017555 t=6400
zhuan 	转	c=7 d=0.0154244 t=6400
zhuan huan 	转换	c=1 d=9.61771e-13 t=6400
zhuan ye 	专业	c=1 d=0.00557204 t=6400
zhuan ye xian 	专业现	c=1 d=0.00481991 t=6400
zhuang che 	装车	c=1 d=0.00213348 t=6400
zhuang che dan 	装车单	c=11 d=5.0835e-06 t=6400
zhuang tai 	状态	c=2 d=9.46127e-06 t=6400
zhui zong 	追踪	c=1 d=0.0206508 t=6400
zhun bei 	准备	c=5 d=0.517146 t=6400
zi 	子	c=1 d=0.00178203 t=6400
zi dong 	自动	c=4 d=0.585669 t=6400
zi dong hua 	自动化	c=19 d=1.99413 t=6400
zi duan 	字段	c=27 d=1.62205 t=6400
zi duan ming 	字段名	c=1 d=2.91836e-12 t=6400
zi ji 	自己	c=5 d=0.285896 t=6400
zi ji shang 	自己上	c=1 d=0.19205 t=6400
zi jian 	自建	c=1 d=3.39065e-12 t=6400
zi ke hu 	子客户	c=20 d=0.241975 t=6400
zi mu 	子母	c=1 d=6.16326e-13 t=6400
zi ran 	自然	c=1 d=0.000175127 t=6400
zi ti 	字体	c=1 d=7.00197e-14 t=6400
zi ti 	自提	c=6 d=0.0712134 t=6400
zi ti dan 	自提单	c=1 d=0.0325493 t=6400
zi zhu 	自住	c=1 d=3.06851e-14 t=6400
zi zhu 	自助	c=20 d=0.647198 t=6400
zi zhu da yin 	自助打印	c=2 d=0.0401553 t=6400
zong ji 	总计	c=2 d=4.46679e-12 t=6400
zong liang 	总量	c=2 d=3.99196e-12 t=6400
zong xiang 	纵向	c=1 d=1.78786e-12 t=6400
zou 	走	c=1 d=3.82164e-08 t=6400
zou de 	走的	c=1 d=2.79526e-05 t=6400
zou qi 	走起	c=0 d=1.99026e-10 t=6400
zou qi lai 	走起来	c=1 d=2.00024e-09 t=6400
zu gou 	足够	c=1 d=0.0196437 t=6400
zu jian 	组件	c=2 d=0.243068 t=6400
zu jian ku 	组件库	c=2 d=0.245367 t=6400
zu jin 	租金	c=1 d=5.17379e-13 t=6400
zu li 	组里	c=1 d=1.11472e-13 t=6400
zu nei 	组内	c=1 d=0.00375375 t=6400
zu wai 	组外	c=1 d=0.00381048 t=6400
zu zhang 	组长	c=3 d=0.0138696 t=6400
zui 	最	c=3 d=8.03129e-05 t=6400
zui da 	最大	c=2 d=1.0285e-07 t=6400
zui hao 	最好	c=1 d=2.16234e-14 t=6400
zui hou 	最后	c=6 d=2.81189e-07 t=6400
zui jia 	最佳	c=1 d=1.17715e-07 t=6400
zui jin 	最近	c=1 d=5.63184e-11 t=6400
zui kai shi 	最开始	c=1 d=0.07502 t=6400
